Nom.departement,Synonyme.nom
Ain,Ain
Aisne,Aisne
Allier,Allier
Alpes-de-Haute-Provence,Alpes de Haute-Provence
Alpes-de-Haute-Provence,Alpes-de-Haute-Provence
Alpes-Maritimes,Alpes-Maritimes
Ardèche,Ardèche
Ardennes,Ardennes
Ariège,Ariège
Aube,Aube
Aude,Aude
Aveyron,Aveyron
Bas-Rhin,Bas-Rhin
Bouches-du-Rhône,Bouches-du-Rhône
Calvados,Calvados
Cantal,Cantal
Charente,Charente
Charente-Maritime,Charente-Maritime
Cher,Cher
Corrèze,Corrèze
Corse-du-Sud,Corse du Sud
Corse-du-Sud,Corse-du-Sud
Corse,Collectivité de Corse
Côte-d'Or,Côte-d'Or
Côtes-d'Armor,Côtes-d'Armor
Creuse,Creuse
Deux-Sèvres,Deux-Sèvres
Dordogne,Dordogne
Doubs,Doubs
Drôme,Drôme
Essonne,Essonne
Eure,Eure
Eure-et-Loir,Eure-et-Loir
Eure-et-Loir,Eure-et-loir
Finistère,Finistère
Gard,Gard
Gers,Gers
Gironde,Gironde
Guadeloupe,Guadeloupe
Guadeloupe,Guadeloupe*
Guyane,Guyane
Haut-Rhin,Haut-Rhin
Haute-Corse,Haute-Corse
Haute-Garonne,Haute-Garonne
Haute-Loire,Haute-Loire
Haute-Marne,Haute-Marne
Haute-Saône,Haute-Saône
Haute-Savoie,Haute-Savoie
Haute-Vienne,Haute-Vienne
Hautes-Alpes,Hautes-Alpes
Hautes-Pyrénées,Hautes-Pyrénées
Hauts-de-Seine,Hauts-de-Seine
Hérault,Hérault
Ille-et-Vilaine,Ille-et-Vilaine
Indre,Indre
Indre-et-Loire,Indre-et-Loire
Isère,Isère
Jura,Jura
La Réunion,La Réunion
Landes,Landes
Loir-et-Cher,Loir-et-Cher
Loire,Loire
Loire-Atlantique,Loire-Atlantique
Loiret,Loiret
Lot,Lot
Lot-et-Garonne,Lot-et-Garonne
Lot-et-Garonne,Lot-et-Graonne
Lozère,Lozère
Métropole de Lyon,Lyon Métropole 
Maine-et-Loire,Maine-et-Loire
Manche,Manche
Marne,Marne
Martinique,Martinique
Mayenne,Mayenne
Métropole de Lyon,Métropole de Lyon
Meurthe-et-Moselle,Meurthe-et-Moselle
Meuse,Meuse
Morbihan,Morbihan
Moselle,Moselle
Nièvre,Nièvre
Nord,Nord
Rhône hors métropole de Lyon,Nouveau Rhône
Oise,Oise
Orne,Orne
Paris,Paris
Pas-de-Calais,Pas-de-Calais
Puy-de-Dôme,Puy-de-Dôme
Pyrénées-Atlantiques,Pyrénées-Atlantiques
Pyrénées-Orientales,Pyrénées-Orientales
La Réunion,Réunion
Rhône,Rhône
Rhône,Département du Rhône
Saône-et-Loire,Saône-et-Loire
Sarthe,Sarthe
Savoie,Savoie
Seine-et-Marne,Seine-et-Marne
Seine-Maritime,Seine-Maritime
Seine-Saint-Denis,Seine-Saint-Denis
Somme,Somme
Tarn,Tarn
Tarn-et-Garonne,Tarn-et-Garonne
Territoire de Belfort,Territoire de Belfort
Val-d'Oise,Val-d'Oise
Val-de-Marne,Val-de-Marne
Var,Var
Vaucluse,Vaucluse
Vendée,Vendée
Vienne,Vienne
Vosges,Vosges
Yonne,Yonne
Yvelines,Yvelines
